DATE,Global Alumuminum $USD Per Metic Ton,Cold-Rolled Steel PPI,Electronic Wire and Cable PPI,Hot-Rolled Steel PPI
2011-06-01,2557.76136363636,250.3,271.4,164.7
2011-07-01,2525.42857142857,248.0,271.0,164.6
2011-08-01,2380.975,249.3,277.1,162.3
2011-09-01,2293.46136363636,247.4,277.6,161.4
2011-10-01,2180.64761904762,243.7,275.9,160.6
2011-11-01,2079.98181818182,239.6,276.5,158.7
2011-12-01,2024.375,238.4,275.4,158.0
2012-01-01,2151.33333333333,234.5,275.7,161.0
2012-02-01,2207.91666666667,240.2,276.7,162.4
2012-03-01,2184.15909090909,236.7,277.0,162.1
2012-04-01,2048.50526315789,236.7,277.2,162.7
2012-05-01,2002.52272727273,243.3,276.3,156.6
2012-06-01,1885.51315789474,232.4,275.9,152.9
2012-07-01,1876.25,226.1,274.5,151.1
2012-08-01,1843.32727272727,225.9,275.5,138.0
2012-09-01,2064.12,227.4,274.5,143.0
2012-10-01,1974.30434782609,222.3,276.6,138.7
2012-11-01,1948.82954545455,221.5,276.5,133.5
2012-12-01,2086.76315789474,221.6,275.8,137.0
2013-01-01,2037.60681818182,219.3,271.4,140.0
2013-02-01,2053.595,219.0,272.2,137.5
2013-03-01,1911.2825,218.7,271.6,134.4
2013-04-01,1861.02380952381,218.0,270.2,135.7
2013-05-01,1832.57142857143,216.1,268.8,134.4
2013-06-01,1814.5375,215.8,269.1,134.4
2013-07-01,1769.60869565217,217.9,268.9,134.7
2013-08-01,1816.23571428571,217.2,268.0,135.4
2013-09-01,1761.30476190476,217.7,267.7,135.7
2013-10-01,1814.58260869565,218.1,265.4,135.6
2013-11-01,1747.96428571429,221.6,267.5,137.3
2013-12-01,1739.81,221.6,267.4,138.1
2014-01-01,1727.41136363636,223.1,269.2,140.1
2014-02-01,1695.165,224.3,268.6,140.4
2014-03-01,1705.36666666667,221.3,267.8,139.8
2014-04-01,1810.675,225.5,268.1,140.1
2014-05-01,1751.05,227.2,268.0,140.9
2014-06-01,1838.95238095238,228.2,268.3,141.1
2014-07-01,1948.30434782609,228.5,268.9,140.7
2014-08-01,2030.4925,231.2,269.5,141.0
2014-09-01,1990.43181818182,230.6,269.4,140.6
2014-10-01,1946.18913043478,228.9,269.4,140.4
2014-11-01,2055.555,227.7,269.5,139.6
2014-12-01,1909.45952380952,224.2,269.4,138.6
2015-01-01,1814.71904761905,220.0,258.0,135.5
2015-02-01,1817.82,213.7,259.6,131.8
2015-03-01,1773.86363636364,206.6,256.6,131.0
2015-04-01,1819.1875,199.8,255.8,123.2
2015-05-01,1804.03947368421,196.8,255.6,116.3
2015-06-01,1687.72727272727,196.4,257.2,112.9
2015-07-01,1639.5,194.2,255.1,111.4
2015-08-01,1548.125,192.8,256.5,111.2
2015-09-01,1589.60227272727,190.4,255.9,110.5
2015-10-01,1516.48863636364,186.0,256.0,107.5
2015-11-01,1467.89285714286,181.2,256.1,103.0
2015-12-01,1497.20238095238,176.2,254.4,96.7
2016-01-01,1481.1,173.9,250.4,95.7
2016-02-01,1531.2619047619,170.3,249.7,95.4
2016-03-01,1531.0119047619,173.7,253.9,95.4
2016-04-01,1571.22619047619,181.4,254.0,99.5
2016-05-01,1550.625,186.7,251.8,104.6
