DATE,Fed-held Residential MBS,Fed-held Commerical MBS,Fed Total Assets
2007-12-12,0.0,0.0,882436.0
2007-12-19,0.0,0.0,888692.0
2007-12-26,0.0,0.0,891158.0
2008-01-02,0.0,0.0,923058.0
2008-01-09,0.0,0.0,881323.0
2008-01-16,0.0,0.0,894245.0
2008-01-23,0.0,0.0,878400.0
2008-01-30,0.0,0.0,900810.0
2008-02-06,0.0,0.0,871610.0
2008-02-13,0.0,0.0,883544.0
2008-02-20,0.0,0.0,880047.0
2008-02-27,0.0,0.0,894294.0
2008-03-05,0.0,0.0,881822.0
2008-03-12,0.0,0.0,897089.0
2008-03-19,0.0,0.0,889065.0
2008-03-26,0.0,0.0,894437.0
2008-04-02,0.0,0.0,884297.0
2008-04-09,0.0,0.0,893609.0
2008-04-16,0.0,0.0,882426.0
2008-04-23,0.0,0.0,886483.0
2008-04-30,0.0,0.0,888721.0
2008-05-07,0.0,0.0,889757.0
2008-05-14,0.0,0.0,880605.0
2008-05-21,0.0,0.0,898913.0
2008-05-28,0.0,0.0,904977.0
2008-06-04,0.0,0.0,896444.0
2008-06-11,0.0,0.0,891195.0
2008-06-18,0.0,0.0,902927.0
2008-06-25,0.0,0.0,893196.0
2008-07-02,0.0,0.0,903620.0
2008-07-09,0.0,0.0,898653.0
2008-07-16,0.0,0.0,911291.0
2008-07-23,0.0,0.0,900292.0
2008-07-30,0.0,0.0,919115.0
2008-08-06,0.0,0.0,902873.0
2008-08-13,0.0,0.0,915164.0
2008-08-20,0.0,0.0,899120.0
2008-08-27,0.0,0.0,910543.0
2008-09-03,0.0,0.0,905996.0
2008-09-10,0.0,0.0,926372.0
2008-09-17,0.0,0.0,995589.0
2008-09-24,0.0,0.0,1212299.0
2008-10-01,0.0,0.0,1504499.0
2008-10-08,0.0,0.0,1592049.0
2008-10-15,0.0,0.0,1771632.0
2008-10-22,0.0,0.0,1803036.0
2008-10-29,0.0,0.0,1969444.0
2008-11-05,0.0,0.0,2074643.0
2008-11-12,0.0,0.0,2213329.0
2008-11-19,0.0,0.0,2187596.0
2008-11-26,0.0,0.0,2106615.0
2008-12-03,0.0,0.0,2137435.0
2008-12-10,0.0,0.0,2250457.0
2008-12-17,0.0,0.0,2255370.0
2008-12-24,0.0,0.0,2232826.0
2008-12-31,0.0,0.0,2239854.0
2009-01-07,0.0,0.0,2121949.0
2009-01-14,0.0,0.0,2050122.0
2009-01-21,0.0,0.0,2037755.0
2009-01-28,0.0,0.0,1927437.0
2009-02-04,0.0,0.0,1851813.0
2009-02-11,0.0,0.0,1843739.0
2009-02-18,0.0,0.0,1916216.0
2009-02-25,0.0,0.0,1916461.0
2009-03-04,0.0,0.0,1901834.0
2009-03-11,0.0,0.0,1899968.0
2009-03-18,0.0,0.0,2067273.0
2009-03-25,0.0,0.0,2071847.0
2009-04-01,0.0,0.0,2079411.0
2009-04-08,0.0,0.0,2088983.0
2009-04-15,0.0,0.0,2187028.0
2009-04-22,0.0,0.0,2197155.0
2009-04-29,0.0,0.0,2067131.0
2009-05-06,0.0,0.0,2080452.0
2009-05-13,0.0,0.0,2196882.0
2009-05-20,0.0,0.0,2181986.0
2009-05-27,0.0,0.0,2080642.0
2009-06-03,0.0,0.0,2078237.0
2009-06-10,0.0,0.0,2052633.0
2009-06-17,0.0,0.0,2072938.0
2009-06-24,0.0,0.0,2025828.0
2009-07-01,0.0,0.0,2006220.0
2009-07-08,0.0,0.0,1993054.0
2009-07-15,0.0,0.0,2072846.0
2009-07-22,0.0,0.0,2039391.0
2009-07-29,0.0,0.0,2000966.0
2009-08-05,0.0,0.0,1989654.0
2009-08-12,0.0,0.0,2015200.0
2009-08-19,0.0,0.0,2061283.0
2009-08-26,0.0,0.0,2075243.0
2009-09-02,0.0,0.0,2084026.0
2009-09-09,0.0,0.0,2088516.0
2009-09-16,0.0,0.0,2140254.0
2009-09-23,0.0,0.0,2158900.0
2009-09-30,0.0,0.0,2141302.0
2009-10-07,0.0,0.0,2138587.0
2009-10-14,0.0,0.0,2193576.0
2009-10-21,0.0,0.0,2201452.0
2009-10-28,0.0,0.0,2161834.0
2009-11-04,0.0,0.0,2165358.0
2009-11-11,0.0,0.0,2135394.0
2009-11-18,0.0,0.0,2209000.0
2009-11-25,0.0,0.0,2206591.0
2009-12-02,0.0,0.0,2204380.0
2009-12-09,0.0,0.0,2186762.0
2009-12-16,0.0,0.0,2236035.0
2009-12-23,0.0,0.0,2236055.0
2009-12-30,0.0,0.0,2234309.0
2010-01-06,0.0,0.0,2235669.0
2010-01-13,0.0,0.0,2292090.0
2010-01-20,0.0,0.0,2252213.0
2010-01-27,0.0,0.0,2247065.0
2010-02-03,0.0,0.0,2249553.0
2010-02-10,0.0,0.0,2256849.0
2010-02-17,0.0,0.0,2277936.0
2010-02-24,0.0,0.0,2286282.0
2010-03-03,0.0,0.0,2280227.0
2010-03-10,0.0,0.0,2282548.0
2010-03-17,0.0,0.0,2308068.0
2010-03-24,0.0,0.0,2313198.0
2010-03-31,0.0,0.0,2307201.0
2010-04-07,0.0,0.0,2307637.0
2010-04-14,0.0,0.0,2339408.0
2010-04-21,0.0,0.0,2337612.0
2010-04-28,0.0,0.0,2330517.0
2010-05-05,0.0,0.0,2326221.0
2010-05-12,0.0,0.0,2336143.0
2010-05-19,0.0,0.0,2350934.0
2010-05-26,0.0,0.0,2334081.0
2010-06-02,0.0,0.0,2336305.0
2010-06-09,0.0,0.0,2331566.0
2010-06-16,0.0,0.0,2344348.0
2010-06-23,0.0,0.0,2344521.0
2010-06-30,0.0,0.0,2330901.0
2010-07-07,0.0,0.0,2332114.0
2010-07-14,0.0,0.0,2340767.0
2010-07-21,0.0,0.0,2332369.0
2010-07-28,0.0,0.0,2325362.0
2010-08-04,0.0,0.0,2326563.0
2010-08-11,0.0,0.0,2327604.0
2010-08-18,0.0,0.0,2313764.0
2010-08-25,0.0,0.0,2301100.0
2010-09-01,0.0,0.0,2302106.0
2010-09-08,0.0,0.0,2305916.0
2010-09-15,0.0,0.0,2296172.0
2010-09-22,0.0,0.0,2307266.0
2010-09-29,0.0,0.0,2298781.0
2010-10-06,0.0,0.0,2308176.0
2010-10-13,0.0,0.0,2310002.0
2010-10-20,0.0,0.0,2305322.0
2010-10-27,0.0,0.0,2295477.0
2010-11-03,0.0,0.0,2300443.0
2010-11-10,0.0,0.0,2312859.0
2010-11-17,0.0,0.0,2314851.0
2010-11-24,0.0,0.0,2346097.0
2010-12-01,0.0,0.0,2347007.0
2010-12-08,0.0,0.0,2382387.0
2010-12-15,0.0,0.0,2385843.0
2010-12-22,0.0,0.0,2428053.0
2010-12-29,0.0,0.0,2420674.0
2011-01-05,0.0,0.0,2436162.0
2011-01-12,0.0,0.0,2468230.0
2011-01-19,0.0,0.0,2425374.0
2011-01-26,0.0,0.0,2443637.0
2011-02-02,0.0,0.0,2469513.0
2011-02-09,0.0,0.0,2500567.0
2011-02-16,0.0,0.0,2508967.0
2011-02-23,0.0,0.0,2533359.0
2011-03-02,0.0,0.0,2545231.0
2011-03-09,0.0,0.0,2577172.0
2011-03-16,0.0,0.0,2583145.0
2011-03-23,0.0,0.0,2601444.0
2011-03-30,0.0,0.0,2622616.0
2011-04-06,0.0,0.0,2648776.0
2011-04-13,0.0,0.0,2665508.0
2011-04-20,0.0,0.0,2685882.0
2011-04-27,0.0,0.0,2691133.0
2011-05-04,0.0,0.0,2718848.0
2011-05-11,0.0,0.0,2744597.0
2011-05-18,0.0,0.0,2758079.0
2011-05-25,0.0,0.0,2775137.0
2011-06-01,0.0,0.0,2788955.0
2011-06-08,0.0,0.0,2811363.0
2011-06-15,0.0,0.0,2827703.0
2011-06-22,0.0,0.0,2856563.0
2011-06-29,0.0,0.0,2865408.0
2011-07-06,0.0,0.0,2870296.0
2011-07-13,0.0,0.0,2878212.0
2011-07-20,0.0,0.0,2871435.0
2011-07-27,0.0,0.0,2863806.0
2011-08-03,0.0,0.0,2867363.0
2011-08-10,0.0,0.0,2872543.0
2011-08-17,0.0,0.0,2858024.0
2011-08-24,0.0,0.0,2859542.0
2011-08-31,0.0,0.0,2854000.0
2011-09-07,0.0,0.0,2858789.0
2011-09-14,0.0,0.0,2863651.0
2011-09-21,0.0,0.0,2857909.0
2011-09-28,0.0,0.0,2851028.0
2011-10-05,0.0,0.0,2859823.0
2011-10-12,0.0,0.0,2860959.0
2011-10-19,0.0,0.0,2852516.0
2011-10-26,0.0,0.0,2845777.0
2011-11-02,0.0,0.0,2822149.0
2011-11-09,0.0,0.0,2839886.0
2011-11-16,0.0,0.0,2831681.0
2011-11-23,0.0,0.0,2822063.0
2011-11-30,0.0,0.0,2814313.0
2011-12-07,0.0,0.0,2820774.0
2011-12-14,0.0,0.0,2902568.0
2011-12-21,0.0,0.0,2916188.0
2011-12-28,0.0,0.0,2926195.0
2012-01-04,0.0,0.0,2917845.0
2012-01-11,0.0,0.0,2899235.0
2012-01-18,0.0,0.0,2919617.0
2012-01-25,0.0,0.0,2919667.0
2012-02-01,0.0,0.0,2925040.0
2012-02-08,0.0,0.0,2928366.0
2012-02-15,0.0,0.0,2937996.0
2012-02-22,0.0,0.0,2932953.0
2012-02-29,0.0,0.0,2925788.0
2012-03-07,0.0,0.0,2884816.0
2012-03-14,0.0,0.0,2893871.0
2012-03-21,0.0,0.0,2892716.0
2012-03-28,0.0,0.0,2878200.0
2012-04-04,0.0,0.0,2865568.0
2012-04-11,0.0,0.0,2867267.0
2012-04-18,0.0,0.0,2875608.0
2012-04-25,0.0,0.0,2866675.0
2012-05-02,0.0,0.0,2864377.0
2012-05-09,0.0,0.0,2864231.0
2012-05-16,0.0,0.0,2851081.0
2012-05-23,0.0,0.0,2859578.0
2012-05-30,0.0,0.0,2842777.0
2012-06-06,0.0,0.0,2852083.0
2012-06-13,0.0,0.0,2869132.0
2012-06-20,0.0,0.0,2870921.0
2012-06-27,0.0,0.0,2863605.0
2012-07-04,0.0,0.0,2865961.0
2012-07-11,0.0,0.0,2866332.0
2012-07-18,0.0,0.0,2855871.0
2012-07-25,0.0,0.0,2846805.0
2012-08-01,0.0,0.0,2851183.0
2012-08-08,0.0,0.0,2856237.0
2012-08-15,0.0,0.0,2833374.0
2012-08-22,0.0,0.0,2825724.0
2012-08-29,0.0,0.0,2813001.0
2012-09-05,0.0,0.0,2822283.0
2012-09-12,0.0,0.0,2823505.0
2012-09-19,0.0,0.0,2821637.0
2012-09-26,0.0,0.0,2804567.0
2012-10-03,0.0,0.0,2808621.0
2012-10-10,0.0,0.0,2811853.0
2012-10-17,0.0,0.0,2847037.0
2012-10-24,0.0,0.0,2841053.0
2012-10-31,0.0,0.0,2823137.0
2012-11-07,0.0,0.0,2830791.0
2012-11-14,0.0,0.0,2877244.0
2012-11-21,0.0,0.0,2871162.0
2012-11-28,0.0,0.0,2851362.0
2012-12-05,0.0,0.0,2859807.0
2012-12-12,0.0,0.0,2917260.0
2012-12-19,0.0,0.0,2920231.0
2012-12-26,0.0,0.0,2907300.0
2013-01-02,0.0,0.0,2917189.0
2013-01-09,0.0,0.0,2928728.0
