DATE,Avg Hourly Wage Durable Good Mfg.,Job Quits (x1000) Durable Goods Mfg,Job Hires (x1000) Durable Goods Mfg,Job Openings (x1000) Durable Good Mfg,Civilian Labor Participation Rate,Civilian Labor Population (x1000)
2012-09-01,25.35,59.0,133.0,141.0,63.6,155160
2012-10-01,25.31,62.0,157.0,164.0,63.8,155554
2012-11-01,25.36,61.0,159.0,164.0,63.6,155338
2012-12-01,25.45,62.0,151.0,165.0,63.7,155628
2013-01-01,25.46,62.0,150.0,156.0,63.7,155763
2013-02-01,25.51,65.0,149.0,179.0,63.4,155312
2013-03-01,25.55,52.0,144.0,174.0,63.3,155005
2013-04-01,25.63,67.0,153.0,156.0,63.4,155394
2013-05-01,25.73,67.0,161.0,154.0,63.4,155536
2013-06-01,25.75,61.0,141.0,137.0,63.4,155749
2013-07-01,25.78,79.0,138.0,122.0,63.3,155599
2013-08-01,25.79,50.0,157.0,194.0,63.3,155605
2013-09-01,25.86,64.0,159.0,177.0,63.2,155687
2013-10-01,25.86,60.0,141.0,178.0,62.8,154673
2013-11-01,25.99,66.0,148.0,171.0,63.0,155265
2013-12-01,26.03,61.0,143.0,180.0,62.9,155182
2014-01-01,26.11,59.0,137.0,168.0,62.9,155352
2014-02-01,26.13,58.0,141.0,163.0,62.9,155483
2014-03-01,26.14,71.0,150.0,157.0,63.1,156028
2014-04-01,26.08,59.0,151.0,172.0,62.8,155369
2014-05-01,26.09,69.0,154.0,175.0,62.9,155684
2014-06-01,26.19,58.0,157.0,189.0,62.8,155707
2014-07-01,26.2,70.0,154.0,191.0,62.9,156007
2014-08-01,26.23,69.0,140.0,185.0,62.9,156130
2014-09-01,26.19,71.0,161.0,185.0,62.8,156040
2014-10-01,26.25,80.0,182.0,189.0,62.9,156417
2014-11-01,26.28,56.0,160.0,202.0,62.9,156494
2014-12-01,26.26,75.0,161.0,191.0,62.8,156332
2015-01-01,26.3,90.0,153.0,199.0,62.9,157030
2015-02-01,26.38,71.0,157.0,194.0,62.7,156644
2015-03-01,26.44,68.0,156.0,197.0,62.6,156643
2015-04-01,26.45,79.0,150.0,200.0,62.8,157060
2015-05-01,26.52,68.0,147.0,193.0,62.9,157651
2015-06-01,26.51,81.0,154.0,176.0,62.7,157062
2015-07-01,26.59,75.0,160.0,198.0,62.6,156997
2015-08-01,26.73,77.0,168.0,191.0,62.6,157172
2015-09-01,26.7,88.0,175.0,185.0,62.4,156733
2015-10-01,26.73,72.0,154.0,182.0,62.5,157167
2015-11-01,26.82,72.0,150.0,173.0,62.5,157463
2015-12-01,26.86,80.0,158.0,185.0,62.7,158035
2016-01-01,26.97,81.0,166.0,177.0,62.7,158280
2016-02-01,27.03,87.0,172.0,170.0,62.8,158640
2016-03-01,27.1,82.0,152.0,175.0,63.0,159179
2016-04-01,27.2,80.0,161.0,195.0,62.9,159141
2016-05-01,27.31,80.0,155.0,185.0,62.7,158784
2016-06-01,27.32,81.0,156.0,197.0,62.7,158967
2016-07-01,27.32,79.0,165.0,198.0,62.8,159194
2016-08-01,27.47,78.0,142.0,184.0,62.9,159562
2016-09-01,27.41,83.0,157.0,187.0,62.9,159714
2016-10-01,27.58,88.0,163.0,184.0,62.8,159605
2016-11-01,27.53,92.0,164.0,195.0,62.7,159506
2016-12-01,27.6,91.0,172.0,202.0,62.7,159678
2017-01-01,27.61,95.0,171.0,212.0,62.8,159616
2017-02-01,27.66,93.0,156.0,205.0,62.8,159789
2017-03-01,27.67,95.0,175.0,227.0,63.0,160169
2017-04-01,27.8,99.0,170.0,203.0,63.0,160470
2017-05-01,27.8,106.0,185.0,195.0,62.8,160036
2017-06-01,27.84,110.0,203.0,219.0,62.8,160217
2017-07-01,27.96,126.0,184.0,169.0,62.9,160437
2017-08-01,27.88,101.0,221.0,241.0,62.9,160670
2017-09-01,27.98,107.0,188.0,272.0,63.0,161107
2017-10-01,28.02,110.0,195.0,258.0,62.7,160252
2017-11-01,28.0,105.0,192.0,260.0,62.7,160507
2017-12-01,28.04,112.0,200.0,249.0,62.7,160543
2018-01-01,28.18,118.0,215.0,263.0,62.7,160992
2018-02-01,28.12,114.0,209.0,280.0,63.0,161764
2018-03-01,28.17,127.0,213.0,251.0,62.9,161765
2018-04-01,28.27,112.0,215.0,281.0,62.9,161914
2018-05-01,28.33,113.0,213.0,295.0,62.9,161897
2018-06-01,28.37,109.0,213.0,289.0,63.0,162200
2018-07-01,28.41,127.0,222.0,268.0,63.0,162316
2018-08-01,28.49,119.0,206.0,291.0,62.7,161735
2018-09-01,28.56,107.0,190.0,303.0,62.7,161985
2018-10-01,28.57,111.0,232.0,311.0,62.8,162471
2018-11-01,28.7,118.0,199.0,317.0,62.9,162713
2018-12-01,28.77,105.0,187.0,315.0,63.0,163124
2019-01-01,28.71,111.0,189.0,283.0,63.1,163067
2019-02-01,28.87,115.0,189.0,294.0,63.1,163032
2019-03-01,28.91,115.0,185.0,288.0,63.1,163010
2019-04-01,28.95,131.0,207.0,292.0,62.9,162737
2019-05-01,29.05,117.0,189.0,290.0,62.9,162848
2019-06-01,29.14,116.0,183.0,284.0,62.9,163046
2019-07-01,29.19,108.0,182.0,264.0,63.1,163586
2019-08-01,29.26,122.0,189.0,282.0,63.2,163861
2019-09-01,29.34,125.0,193.0,260.0,63.1,163958
2019-10-01,29.4,118.0,173.0,250.0,63.2,164278
2019-11-01,29.51,107.0,205.0,269.0,63.2,164447
2019-12-01,29.62,113.0,191.0,224.0,63.3,164579
2020-01-01,29.62,108.0,181.0,250.0,63.4,164455
2020-02-01,29.65,110.0,216.0,252.0,63.3,164448
2020-03-01,29.77,83.0,176.0,170.0,62.6,162721
2020-04-01,30.88,45.0,201.0,148.0,60.2,156478
2020-05-01,30.55,76.0,370.0,187.0,60.8,158200
2020-06-01,30.0,107.0,270.0,169.0,61.4,159797
2020-07-01,30.22,106.0,200.0,223.0,61.5,160085
2020-08-01,30.42,124.0,224.0,250.0,61.7,160818
2020-09-01,30.31,134.0,220.0,270.0,61.4,160078
2020-10-01,30.37,123.0,226.0,302.0,61.6,160718
2020-11-01,30.51,129.0,230.0,250.0,61.5,160536
2020-12-01,30.49,135.0,224.0,271.0,61.5,160567
2021-01-01,30.51,142.0,192.0,308.0,61.4,160161
2021-02-01,30.63,140.0,218.0,298.0,61.4,160211
2021-03-01,30.7,150.0,255.0,393.0,61.5,160558
2021-04-01,30.91,155.0,216.0,462.0,61.7,160988
2021-05-01,31.06,120.0,235.0,480.0,61.6,160935
2021-06-01,31.15,163.0,280.0,494.0,61.6,161086
2021-07-01,31.32,154.0,261.0,517.0,61.7,161347
2021-08-01,31.44,170.0,260.0,488.0,61.7,161537
2021-09-01,31.57,171.0,263.0,523.0,61.6,161354
2021-10-01,31.67,,,,61.6,161458
