DATE,USD in Circulation (Billions)
2017-03-01,1527.119
2017-04-01,1539.472
2017-05-01,1548.163
2017-06-01,1555.21
2017-07-01,1562.592
2017-08-01,1565.288
2017-09-01,1578.295
2017-10-01,1583.264
2017-11-01,1592.131
2017-12-01,1604.544
2018-01-01,1611.341
2018-02-01,1616.281
2018-03-01,1633.038
2018-04-01,1639.951
2018-05-01,1650.879
2018-06-01,1661.272
2018-07-01,1669.057
2018-08-01,1671.608
2018-09-01,1685.515
2018-10-01,1690.132
2018-11-01,1701.602
2018-12-01,1706.892
2019-01-01,1709.726
2019-02-01,1707.784
2019-03-01,1719.262
2019-04-01,1726.409
2019-05-01,1732.227
2019-06-01,1737.761
2019-07-01,1746.898
2019-08-01,1749.115
2019-09-01,1762.662
2019-10-01,1769.485
2019-11-01,1785.601
2019-12-01,1794.26
2020-01-01,1798.984
2020-02-01,1795.984
2020-03-01,1826.076
2020-04-01,1887.38
2020-05-01,1929.729
2020-06-01,1955.37
2020-07-01,1978.268
2020-08-01,2004.524
2020-09-01,2026.246
2020-10-01,2040.201
2020-11-01,2055.633
2020-12-01,2070.526
2021-01-01,2093.534
2021-02-01,2100.216
2021-03-01,2115.282
2021-04-01,2154.819
2021-05-01,2167.934
2021-06-01,2178.843
2021-07-01,2186.128
2021-08-01,2187.633
2021-09-01,2194.903
2021-10-01,2202.506
2021-11-01,2211.689
